a,dest,poe,mgra_entry,mgra_return,poe_taz
703,766,0,7090,7090,1
704,711,0,7090,7090,1
705,760,0,7090,7090,1
706,761,0,7090,7090,1
707,749,0,7090,7090,1
708,762,0,7090,7090,1
709,763,0,7090,7090,1
710,764,0,7090,7090,1
711,767,0,7090,7090,1
712,768,0,7090,7090,1
713,769,0,7090,7090,1
714,770,0,7090,7090,1
715,762,0,7090,7090,1
716,771,0,7090,7090,1
717,773,0,7090,7090,1
718,772,0,7090,7090,1
719,770,0,7090,7090,1
720,759,0,7090,7090,1
721,796,0,7090,7090,1
722,757,0,7090,7090,1
723,780,0,7090,7090,1
724,778,0,7090,7090,1
725,781,0,7090,7090,1
726,782,0,7090,7090,1
727,783,0,7090,7090,1
728,800,0,7090,7090,1
729,777,0,7090,7090,1
730,833,0,7090,7090,1
731,785,0,7090,7090,1
732,786,0,7090,7090,1
733,787,0,7090,7090,1
734,788,0,7090,7090,1
735,789,0,7090,7090,1
736,780,0,7090,7090,1
737,767,0,7090,7090,1
738,785,0,7090,7090,1
739,756,0,7090,7090,1
740,792,0,7090,7090,1
741,797,0,7090,7090,1
742,798,0,7090,7090,1
743,794,0,7090,7090,1
744,793,0,7090,7090,1
745,799,0,7090,7090,1
746,830,0,7090,7090,1
747,802,0,7090,7090,1
748,803,0,7090,7090,1
749,804,0,7090,7090,1
750,779,0,7090,7090,1
751,806,0,7090,7090,1
752,808,0,7090,7090,1
753,809,0,7090,7090,1
754,1432,0,7090,7090,1
755,811,0,7090,7090,1
756,791,0,7090,7090,1
757,813,0,7090,7090,1
758,857,0,7090,7090,1
759,829,0,7090,7090,1
760,814,0,7090,7090,1
761,815,0,7090,7090,1
762,806,0,7090,7090,1
763,816,0,7090,7090,1
764,817,0,7090,7090,1
765,818,0,7090,7090,1
766,844,0,7090,7090,1
767,852,0,7090,7090,1
768,824,0,7090,7090,1
769,838,0,7090,7090,1
770,820,0,7090,7090,1
771,822,0,7090,7090,1
772,823,0,7090,7090,1
773,828,0,7090,7090,1
774,825,0,7090,7090,1
775,827,0,7090,7090,1
776,831,0,7090,7090,1
777,837,0,7090,7090,1
778,834,0,7090,7090,1
779,835,0,7090,7090,1
780,861,0,7090,7090,1
781,836,0,7090,7090,1
782,814,0,7090,7090,1
783,837,0,7090,7090,1
784,840,0,7090,7090,1
785,835,0,7090,7090,1
786,853,0,7090,7090,1
787,839,0,7090,7090,1
788,842,0,7090,7090,1
789,843,0,7090,7090,1
790,801,0,7090,7090,1
791,848,0,7090,7090,1
792,851,0,7090,7090,1
793,849,0,7090,7090,1
794,841,0,7090,7090,1
795,866,0,7090,7090,1
796,788,0,7090,7090,1
797,849,0,7090,7090,1
798,854,0,7090,7090,1
799,855,0,7090,7090,1
800,856,0,7090,7090,1
801,859,0,7090,7090,1
802,858,0,7090,7090,1
803,860,0,7090,7090,1
804,862,0,7090,7090,1
805,849,0,7090,7090,1
806,864,0,7090,7090,1
807,867,0,7090,7090,1
808,865,0,7090,7090,1
809,868,0,7090,7090,1
810,869,0,7090,7090,1
811,871,0,7090,7090,1
812,840,0,7090,7090,1
813,900,0,7090,7090,1
814,882,0,7090,7090,1
815,875,0,7090,7090,1
816,876,0,7090,7090,1
817,873,0,7090,7090,1
818,877,0,7090,7090,1
819,903,0,7090,7090,1
820,879,0,7090,7090,1
821,838,0,7090,7090,1
822,880,0,7090,7090,1
823,881,0,7090,7090,1
824,870,0,7090,7090,1
825,883,0,7090,7090,1
826,884,0,7090,7090,1
827,885,0,7090,7090,1
828,882,0,7090,7090,1
829,886,0,7090,7090,1
830,887,0,7090,7090,1
831,898,0,7090,7090,1
832,889,0,7090,7090,1
833,892,0,7090,7090,1
834,898,0,7090,7090,1
835,840,0,7090,7090,1
836,891,0,7090,7090,1
837,890,0,7090,7090,1
838,884,0,7090,7090,1
839,894,0,7090,7090,1
840,845,0,7090,7090,1
841,895,0,7090,7090,1
842,899,0,7090,7090,1
843,893,0,7090,7090,1
844,896,0,7090,7090,1
845,897,0,7090,7090,1
846,919,0,7090,7090,1
847,902,0,7090,7090,1
848,904,0,7090,7090,1
849,905,0,7090,7090,1
850,906,0,7090,7090,1
851,907,0,7090,7090,1
852,908,0,7090,7090,1
853,966,0,7090,7090,1
854,922,0,7090,7090,1
855,912,0,7090,7090,1
856,914,0,7090,7090,1
857,916,0,7090,7090,1
858,898,0,7090,7090,1
859,930,0,7090,7090,1
860,917,0,7090,7090,1
861,921,0,7090,7090,1
862,920,0,7090,7090,1
863,923,0,7090,7090,1
864,929,0,7090,7090,1
865,924,0,7090,7090,1
866,925,0,7090,7090,1
867,926,0,7090,7090,1
868,961,0,7090,7090,1
869,923,0,7090,7090,1
870,928,0,7090,7090,1
871,933,0,7090,7090,1
872,940,0,7090,7090,1
873,909,0,7090,7090,1
874,919,0,7090,7090,1
875,903,0,7090,7090,1
876,956,0,7090,7090,1
877,931,0,7090,7090,1
878,932,0,7090,7090,1
879,934,0,7090,7090,1
880,935,0,7090,7090,1
881,936,0,7090,7090,1
882,937,0,7090,7090,1
883,939,0,7090,7090,1
884,938,0,7090,7090,1
885,941,0,7090,7090,1
886,948,0,7090,7090,1
887,942,0,7090,7090,1
888,943,0,7090,7090,1
889,944,0,7090,7090,1
890,953,0,7090,7090,1
891,945,0,7090,7090,1
892,946,0,7090,7090,1
893,947,0,7090,7090,1
894,949,0,7090,7090,1
895,950,0,7090,7090,1
896,915,0,7090,7090,1
897,951,0,7090,7090,1
898,927,0,7090,7090,1
899,955,0,7090,7090,1
900,911,0,7090,7090,1
901,952,0,7090,7090,1
902,960,0,7090,7090,1
903,892,0,7090,7090,1
904,940,0,7090,7090,1
905,971,0,7090,7090,1
906,957,0,7090,7090,1
907,988,0,7090,7090,1
908,959,0,7090,7090,1
909,987,0,7090,7090,1
910,963,0,7090,7090,1
911,964,0,7090,7090,1
912,958,0,7090,7090,1
913,965,0,7090,7090,1
914,967,0,7090,7090,1
915,968,0,7090,7090,1
916,969,0,7090,7090,1
917,970,0,7090,7090,1
918,972,0,7090,7090,1
919,975,0,7090,7090,1
920,980,0,7090,7090,1
921,973,0,7090,7090,1
922,974,0,7090,7090,1
923,963,0,7090,7090,1
924,976,0,7090,7090,1
925,977,0,7090,7090,1
926,978,0,7090,7090,1
927,979,0,7090,7090,1
928,982,0,7090,7090,1
929,981,0,7090,7090,1
930,983,0,7090,7090,1
931,954,0,7090,7090,1
932,984,0,7090,7090,1
933,985,0,7090,7090,1
