coefficient_name,value,constrain,purpose,mode,auto_suff,model_counts,target_counts,difference,percent_diff,coef_change,new_value,converged
coef_oMlCoast5p_bike_maint,0.074883,F,,,,,,,,,0.074883,True
coef_ageund16_walk_maint,1.98303,F,,,,,,,,,1.98303,True
coef_age1624_walk_maint,1.250962,F,,,,,,,,,1.250962,True
coef_age4155_walk_maint,-0.44752,F,,,,,,,,,-0.44752,True
coef_age5664_walk_maint,-0.52961,F,,,,,,,,,-0.52961,True
coef_age65pl_walk_maint,-0.81217,F,,,,,,,,,-0.81217,True
coef_female_walk_maint,0.0,F,,,,,,,,,0.0,True
coef_inc60100_walk_maint,-0.20954,F,,,,,,,,,-0.20954,True
coef_LUnorm_walk_maint,0.412701,F,,,,,,,,,0.412701,True
coef_dEmpNorm_walk_maint,0.112744,F,,,,,,,,,0.112744,True
coef_hhsize2_sr2_maint,0.0,F,,,,,,,,,0.0,True
coef_hhsize2_sr3p_maint,-1.679852226,F,,,,,,,,,-1.679852226,True
coef_hhsize3_sr2_maint,0.488088852,F,,,,,,,,,0.488088852,True
coef_hhsize3_sr3p_maint,-1.335043303,F,,,,,,,,,-1.335043303,True
coef_hhsize4p_sr2_maint,0.308239564,F,,,,,,,,,0.308239564,True
coef_hhsize4p_sr3p_maint,0.585684607,F,,,,,,,,,0.585684607,True
coef_oMix_nmot_disc,0.172434,F,,,,,,,,,0.172434,True
coef_oMix_wTran_disc,0.0,F,,,,,,,,,0.0,True
coef_oIntDen_nmot_disc,0.005711,F,,,,,,,,,0.005711,True
coef_oIntDen_wTran_disc,0.0,F,,,,,,,,,0.0,True
coef_dEmpDen_nmot_disc,0.0,F,,,,,,,,,0.0,True
coef_dEmpDen_wTran_disc,0.0,F,,,,,,,,,0.0,True
coef_dEmpDen_dTran_disc,0.0,F,,,,,,,,,0.0,True
coef_age1624_sr2_disc,-0.51961,F,,,,,,,,,-0.51961,True
coef_age1624_sr3p_disc,-1.31632,F,,,,,,,,,-1.31632,True
coef_age1624_nmot_disc,-0.5557,F,,,,,,,,,-0.5557,True
coef_age1624_tran_disc,1.063749,F,,,,,,,,,1.063749,True
coef_age4155_sr2_disc,-1.04157,F,,,,,,,,,-1.04157,True
coef_age4155_sr3p_disc,-1.21044,F,,,,,,,,,-1.21044,True
coef_age4155_nmot_disc,-1.14969,F,,,,,,,,,-1.14969,True
coef_age4155_tran_disc,-0.48434,F,,,,,,,,,-0.48434,True
coef_age5664_sr2_disc,-0.84295,F,,,,,,,,,-0.84295,True
coef_age5664_sr3p_disc,-0.96503,F,,,,,,,,,-0.96503,True
coef_age5664_nmot_disc,-0.97814,F,,,,,,,,,-0.97814,True
coef_age5664_tran_disc,-1.0845,F,,,,,,,,,-1.0845,True
coef_age65pl_sr2_disc,-0.89435,F,,,,,,,,,-0.89435,True
