Supercolonia_ID,Population,Distance_poe0,Distance_poe1,Distance_poe2,Distance_poe3,Distance_poe4
709,1,5.65,11.29,32.36,12.29,37.36
710,202,6.26,11.9,32.97,12.9,37.97
711,110,5.71,11.35,32.43,12.35,37.43
712,6337,6.39,12.03,33.1,13.03,38.1
716,246,7.63,13.17,33.15,14.17,38.15
717,2532,7.42,12.96,32.94,13.96,37.94
719,1675,9.26,9.84,27.05,10.84,32.05
720,2246,11.05,9.7,25.47,10.7,30.47
724,604,4.32,5.21,25.19,6.21,30.19
817,3344,5.58,2.48,22.76,3.48,27.76
856,8132,6.41,12.05,33.12,13.05,38.12
913,2748,4.22,9.76,30.44,10.76,35.44
951,2966,2.2,5.08,25.54,6.08,30.54
975,5566,7.56,8.14,26.67,9.14,31.67
982,1873,5.64,10.21,30.04,11.21,35.04
997,1746,5.24,8.67,28.5,9.67,33.5
1083,2406,3.81,3.66,24.12,4.66,29.12
1086,252,5.03,3.24,23.27,4.24,28.27
1096,39490,7.89,7.9,26.43,8.9,31.43
1125,155,4.89,5.55,25.52,6.55,30.52
1175,1103,5.86,5.35,24.26,6.35,29.26
1211,22,13.77,9.22,17.31,10.22,22.31
1219,6688,8.97,5.39,21.49,6.39,26.49
1220,3074,10.84,8.45,20.64,9.45,25.64
1235,9983,5.42,0.86,21.94,1.86,26.94
1240,9981,7.04,3.05,20.99,4.05,25.99
1251,17613,8.91,4.48,20.07,5.48,25.07
1289,9737,10.38,9.04,22.5,10.04,27.5
1303,2551,9.39,6.97,23.66,7.97,28.66
1324,25424,10.78,6.23,18.45,7.23,23.45
1325,16686,12.26,7.72,17.39,8.72,22.39
1330,50812,11.15,7.26,19.91,8.26,24.91
1351,3327,7.23,1.81,20.11,2.81,25.11
1353,58942,12.68,9.88,18.97,10.88,23.97
1355,8258,12.95,8.41,18.09,9.41,23.09
1362,19548,10.05,7.63,24.32,8.63,29.32
1366,3310,4.8,3.6,23.3,4.6,28.3
1392,212,4.56,10.2,31.28,11.2,36.28
9999,64764,1.3,24.1,1.3,25.1,6.3
