stop_period,stop_skim_period,purpose,freq
9.75,3: MD,9: Work-based,1635
10.25,3: MD,9: Work-based,4703
10.75,3: MD,9: Work-based,5065
11.25,3: MD,9: Work-based,8253
11.75,3: MD,9: Work-based,7664
12.25,3: MD,9: Work-based,11556
12.75,3: MD,9: Work-based,8317
13.25,3: MD,9: Work-based,9166
13.75,3: MD,9: Work-based,9624
14.25,3: MD,9: Work-based,13643
14.75,3: MD,9: Work-based,12147
15.25,3: MD,9: Work-based,16715
15.75,4: PM,9: Work-based,17514
16.25,4: PM,9: Work-based,16522
16.75,4: PM,9: Work-based,21354
17.25,4: PM,9: Work-based,18141
17.75,4: PM,9: Work-based,12784
18.25,4: PM,9: Work-based,8739
18.75,4: PM,9: Work-based,6141
19.25,5: EV,9: Work-based,2250
19.75,5: EV,9: Work-based,4178
20.25,5: EV,9: Work-based,3007
20.75,5: EV,9: Work-based,2686
21.25,5: EV,9: Work-based,505
21.75,5: EV,9: Work-based,585
22.25,5: EV,9: Work-based,510
22.75,5: EV,9: Work-based,473
23.25,5: EV,9: Work-based,159
23.75,5: EV,9: Work-based,245
24.25,5: EV,9: Work-based,0
