"tempid","freq1","freq2","freq3","freq4","freq5","freq6","freq7","freq8","freq9","freq10","freq11","freq12","freq13","freq14","freq15","freq16","freq17","freq18","freq19","freq20","freq21","freq22","freq23","freq24","freq25","freq26","freq27","freq28","freq29","freq30","freq31","freq32","freq33","freq34","freq35","freq36","freq37","freq38","freq39","freq40","TOURPURP","IS_INBOUND","PREV_ORIG_DEP_BIN","TRIP_ID","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","total"
60322,0,0,0,0,0,0,0,0,929.14264,0,0,0,0,24.03155,0,78.10344,0,0,0,0,0,0,0,0,0,0,0,0,11.85264,0,0,0,21.6856,0,0,21.1618236064427,0,0,0,0,6,0,32,2,0,21.6856,21.6856,21.6856,42.8474236064427,42.8474236064427,42.8474236064427,42.8474236064427,42.8474236064427,1085.97769360644
60323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,32,3,0,0,0,0,0,0,0,0,0,0
60324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,32,4,0,0,0,0,0,0,0,0,0,0
60331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.67068,0,0,0,0,0,0,0,6,0,33,1,142.67068,142.67068,142.67068,142.67068,142.67068,142.67068,142.67068,142.67068,142.67068,142.67068
60332,0,0,0,0,0,0,0,0,0,0,0,0,214.56735,0,0,0,0,0,14.8284,0,0,0,0,0,0,0,65.3401,0,11.85264,0,0,0,0,0,0,0,0,0,0,0,6,0,33,2,0,0,0,0,0,0,0,0,0,306.58849
60333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,33,3,0,0,0,0,0,0,0,0,0,0
60334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,33,4,0,0,0,0,0,0,0,0,0,0
60341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482.41304,0,0,0,0,0,0,6,0,34,1,482.41304,482.41304,482.41304,482.41304,482.41304,482.41304,482.41304,482.41304,482.41304,482.41304
60342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,34,2,0,0,0,0,0,0,0,0,0,0
60343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,34,3,0,0,0,0,0,0,0,0,0,0
60344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,34,4,0,0,0,0,0,0,0,0,0,0
60351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491.21994,0,0,0,0,0,6,0,35,1,1491.21994,1491.21994,1491.21994,1491.21994,1491.21994,1491.21994,1491.21994,1491.21994,1491.21994,1491.21994
60352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.5532,11.85264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,35,2,0,0,0,0,0,0,0,0,0,256.40584
60353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,35,3,0,0,0,0,0,0,0,0,0,0
60354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,35,4,0,0,0,0,0,0,0,0,0,0
60361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,36,1,0,0,0,0,0,0,0,0,0,0
60362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014.79288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,36,2,0,0,0,0,0,0,0,0,0,1014.79288
60363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,36,3,0,0,0,0,0,0,0,0,0,0
60364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,36,4,0,0,0,0,0,0,0,0,0,0
60371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,37,1,0,0,0,0,0,0,0,0,0,0
60372,0,0,0,0,0,0,0,0,0,0,0,0,36.3830666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,37,2,0,0,0,0,0,0,0,0,0,36.3830666666666
60373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,37,3,0,0,0,0,0,0,0,0,0,0
60374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,37,4,0,0,0,0,0,0,0,0,0,0
60381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.8883,0,0,6,0,38,1,26.8883,26.8883,26.8883,26.8883,26.8883,26.8883,26.8883,26.8883,26.8883,26.8883
60382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.8883,0,0,6,0,38,2,26.8883,26.8883,26.8883,26.8883,26.8883,26.8883,26.8883,26.8883,26.8883,26.8883
60383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,38,3,0,0,0,0,0,0,0,0,0,0
60384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,38,4,0,0,0,0,0,0,0,0,0,0
60391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,39,1,0,0,0,0,0,0,0,0,0,0
60392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,39,2,0,0,0,0,0,0,0,0,0,0
60393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,39,3,0,0,0,0,0,0,0,0,0,0
60394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,39,4,0,0,0,0,0,0,0,0,0,0
60401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.32175,6,0,40,1,21.32175,0,0,0,0,0,0,0,21.32175,21.32175
60402,0,0,0,0,65.0568,0,0,0,0,0,65.0568,0,0,0,0,0,857.4605,528.1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,40,2,0,0,0,0,0,0,0,0,0,1515.6787
