stop_period,tour_purpose,freq,stop_skim_period
21.25,8: Joint Discretionary,10985,5: EV
21.25,9: Work-based,1169,5: EV
21.75,1: Work,26950,5: EV
21.75,2: University,3953,5: EV
21.75,3: School,772,5: EV
21.75,4: Escort,18643,5: EV
21.75,5: Individual Maintenance,19494,5: EV
21.75,6: Individual Discretionary,27492,5: EV
21.75,7: Joint Maintenance,3382,5: EV
21.75,8: Joint Discretionary,4463,5: EV
21.75,9: Work-based,1141,5: EV
22.25,1: Work,24500,5: EV
22.25,2: University,3125,5: EV
22.25,3: School,759,5: EV
22.25,4: Escort,15709,5: EV
22.25,5: Individual Maintenance,14096,5: EV
22.25,6: Individual Discretionary,23973,5: EV
22.25,7: Joint Maintenance,2265,5: EV
22.25,8: Joint Discretionary,2958,5: EV
22.25,9: Work-based,932,5: EV
22.75,1: Work,22667,5: EV
22.75,2: University,2535,5: EV
22.75,3: School,778,5: EV
22.75,4: Escort,13585,5: EV
22.75,5: Individual Maintenance,10180,5: EV
22.75,6: Individual Discretionary,16037,5: EV
22.75,7: Joint Maintenance,1501,5: EV
22.75,8: Joint Discretionary,1911,5: EV
22.75,9: Work-based,942,5: EV
23.25,1: Work,21825,5: EV
23.25,2: University,1893,5: EV
23.25,3: School,683,5: EV
23.25,4: Escort,11640,5: EV
23.25,5: Individual Maintenance,7294,5: EV
23.25,6: Individual Discretionary,13265,5: EV
23.25,7: Joint Maintenance,1137,5: EV
23.25,8: Joint Discretionary,1371,5: EV
23.25,9: Work-based,780,5: EV
23.75,1: Work,24243,5: EV
23.75,2: University,1334,5: EV
23.75,3: School,776,5: EV
23.75,4: Escort,10391,5: EV
23.75,5: Individual Maintenance,5393,5: EV
23.75,6: Individual Discretionary,7284,5: EV
23.75,7: Joint Maintenance,709,5: EV
23.75,8: Joint Discretionary,636,5: EV
23.75,9: Work-based,561,5: EV
24.25,1: Work,41284,5: EV
24.25,2: University,1128,5: EV
24.25,3: School,828,5: EV
24.25,4: Escort,9770,5: EV
24.25,5: Individual Maintenance,3847,5: EV
24.25,6: Individual Discretionary,6438,5: EV
24.25,7: Joint Maintenance,535,5: EV
24.25,8: Joint Discretionary,642,5: EV
24.25,9: Work-based,331,5: EV
