MAZ,TAZ
1422,811
1423,70
1424,623
1425,310
1426,1681
1427,912
1428,889
1429,926
1430,1637
1431,4661
1432,2628
1433,1863
1434,1856
1435,2000
1436,1667
1437,1837
1438,2581
1439,2300
1440,1349
1441,2635
1442,14
1443,4695
1444,2053
1445,1578
1446,1549
1447,793
1448,3973
1449,1689
1450,48
1451,4292
1452,2589
1453,1637
1454,4023
1455,2151
1456,2470
1457,1571
1458,1547
1459,989
1460,2129
1461,3382
1462,2416
1463,2305
1464,2565
1465,3180
1466,2263
1467,1856
1468,989
1469,45
1470,926
1471,3810
1472,4293
1473,4623
1474,2700
1475,3360
1476,1359
1477,1791
1478,4702
1479,2979
1480,1797
1481,541
1482,4327
1483,2344
1484,2282
1485,1683
1486,4437
1487,400
1488,281
1489,4163
1490,2676
1491,3603
1492,2054
1493,2577
1494,3619
1495,3537
1496,2953
1497,3072
1498,2480
1499,670
1500,2356
1501,2569
1502,583
1503,2293
1504,1808
1505,4175
1506,2908
1507,3973
1508,1872
1509,1966
1510,2058
1511,1574
1512,2282
1513,3481
1514,2642
1515,879
1516,2416
1517,1027
1518,2300
1519,2410
1520,526
1521,911
1522,2229
1523,388
1524,3411
1525,2265
1526,728
1527,2738
1528,546
1529,2765
1530,2942
1531,2628
1532,4160
1533,3758
1534,654
1535,2383
1536,3520
1537,633
1538,3920
1539,2603
1540,1834
1541,2349
1542,2069
1543,2022
1544,2628
1545,3568
1546,3828
1547,2607
1548,52
1549,685
1550,482
1551,3848
1552,2326
1553,80
1554,4141
1555,807
1556,4306
1557,3434
1558,1998
1559,1708
1560,400
1561,2684
1562,33
1563,4286
1564,1527
1565,1824
1566,889
1567,829
1568,2193
1569,2693
1570,1831
1571,643
1572,46
1573,828
1574,3702
1575,3676
1576,584
1577,1799
1578,2391
1579,2312
1580,2990
1581,2201
1582,2251
1583,3188
1584,623
1585,2144
1586,4339
1587,4266
1588,4211
1589,4433
1590,1427
1591,676
1592,652
1593,1052
1594,1179
1595,866
1596,2470
1597,3132
1598,4698
1599,3168
1600,2375
1601,3616
1602,883
1603,2590
1604,2247
1605,2513
1606,1754
1607,1834
1608,3313
1609,2562
1610,2205
1611,3911
1612,2285
1613,1486
1614,1517
1615,650
1616,1453
1617,2105
1618,2110
1619,4641
1620,677
1621,4065
1622,3550
1623,2699
1624,3819
1625,1746
1626,2559
1627,2110
1628,4227
1629,4675
1630,1382
1631,830
1632,1877
1633,2398
1634,2312
1635,857
1636,829
1637,2642
1638,4065
1639,912
1640,1282
1641,2731
1642,2213
1643,3029
1644,2942
1645,3230
1646,3754
1647,2581
1648,2201
1649,1607
1650,2570
1651,823
1652,59
1653,623
1654,2608
1655,588
1656,991
1657,2487
1658,3474
1659,2642
1660,1361
1661,2638
1662,1571
1663,1555
1664,590
1665,2346
1666,1637
1667,1447
1668,2841
1669,1536
1670,4016
1671,2251
1672,1453
1673,1505
1674,2206
1675,4690
1676,59
1677,3696
1678,1082
1679,518
1680,1667
1681,1757
1682,3180
1683,1689
1684,949
1685,893
1686,3110
1687,2897
1688,1411
1689,2637
1690,2207
1691,755
1692,2352
1693,3855
1694,949
1695,4298
1696,2243
1697,2649
1698,25
1699,2990
1700,3610
1701,1018
1702,3576
1703,961
1704,2021
1705,3920
1706,3018
1707,3883
1708,2150
1709,2308
1710,1968
1711,2001
1712,2511
1713,2391
1714,1551
1715,875
1716,1562
1717,1758
1718,4035
1719,3543
1720,4336
1721,2287
1722,4065
1723,941
1724,825
1725,1506
1726,1629
1727,729
1728,2113
1729,1775
1730,388
1731,2256
1732,4265
1733,482
1734,925
1735,871
1736,3638
1737,4080
1738,2305
1739,1689
1740,893
1741,823
