grouped_linked_trip_mode,grouped_tour_mode,trips,purpose
WALK-TRANSIT,WALK-TRANSIT,21611.27556388104,University
PNR-TRANSIT,WALK-TRANSIT,0.0,University
KNR-TRANSIT,WALK-TRANSIT,0.0,University
TNC-TRANSIT,WALK-TRANSIT,0.0,University
TAXI,WALK-TRANSIT,0.0,University
TNC-REG,WALK-TRANSIT,454.98522778536,University
TNC-SHARED,WALK-TRANSIT,0.0,University
SCHOOLBUS,WALK-TRANSIT,0.0,University
ESCOOTER,WALK-TRANSIT,0.0,University
EBIKE,WALK-TRANSIT,0.0,University
All,PNR-TRANSIT,276.74209160226,University
DRIVEALONE,PNR-TRANSIT,0.0,University
SHARED2,PNR-TRANSIT,0.0,University
SHARED3,PNR-TRANSIT,0.0,University
WALK,PNR-TRANSIT,0.0,University
BIKE,PNR-TRANSIT,0.0,University
WALK-TRANSIT,PNR-TRANSIT,0.0,University
PNR-TRANSIT,PNR-TRANSIT,686.3203871736048,University
KNR-TRANSIT,PNR-TRANSIT,0.0,University
TNC-TRANSIT,PNR-TRANSIT,0.0,University
TAXI,PNR-TRANSIT,0.0,University
TNC-REG,PNR-TRANSIT,0.0,University
TNC-SHARED,PNR-TRANSIT,0.0,University
SCHOOLBUS,PNR-TRANSIT,0.0,University
ESCOOTER,PNR-TRANSIT,0.0,University
EBIKE,PNR-TRANSIT,0.0,University
All,KNR-TRANSIT,278.517768811688,University
DRIVEALONE,KNR-TRANSIT,0.0,University
SHARED2,KNR-TRANSIT,0.0,University
SHARED3,KNR-TRANSIT,0.0,University
WALK,KNR-TRANSIT,0.0,University
BIKE,KNR-TRANSIT,0.0,University
WALK-TRANSIT,KNR-TRANSIT,0.0,University
PNR-TRANSIT,KNR-TRANSIT,0.0,University
KNR-TRANSIT,KNR-TRANSIT,389.9248763363631,University
TNC-TRANSIT,KNR-TRANSIT,0.0,University
TAXI,KNR-TRANSIT,0.0,University
TNC-REG,KNR-TRANSIT,0.0,University
TNC-SHARED,KNR-TRANSIT,0.0,University
SCHOOLBUS,KNR-TRANSIT,0.0,University
ESCOOTER,KNR-TRANSIT,0.0,University
EBIKE,KNR-TRANSIT,0.0,University
All,TNC-TRANSIT,0.0,University
DRIVEALONE,TNC-TRANSIT,0.0,University
SHARED2,TNC-TRANSIT,0.0,University
SHARED3,TNC-TRANSIT,0.0,University
WALK,TNC-TRANSIT,0.0,University
BIKE,TNC-TRANSIT,0.0,University
WALK-TRANSIT,TNC-TRANSIT,0.0,University
PNR-TRANSIT,TNC-TRANSIT,0.0,University
KNR-TRANSIT,TNC-TRANSIT,0.0,University
TNC-TRANSIT,TNC-TRANSIT,0.0,University
TAXI,TNC-TRANSIT,0.0,University
TNC-REG,TNC-TRANSIT,0.0,University
TNC-SHARED,TNC-TRANSIT,0.0,University
SCHOOLBUS,TNC-TRANSIT,0.0,University
ESCOOTER,TNC-TRANSIT,0.0,University
EBIKE,TNC-TRANSIT,0.0,University
All,TAXI,0.0,University
DRIVEALONE,TAXI,0.0,University
SHARED2,TAXI,0.0,University
SHARED3,TAXI,0.0,University
WALK,TAXI,0.0,University
BIKE,TAXI,0.0,University
WALK-TRANSIT,TAXI,0.0,University
PNR-TRANSIT,TAXI,0.0,University
KNR-TRANSIT,TAXI,0.0,University
TNC-TRANSIT,TAXI,0.0,University
TAXI,TAXI,0.0,University
TNC-REG,TAXI,0.0,University
TNC-SHARED,TAXI,0.0,University
SCHOOLBUS,TAXI,0.0,University
ESCOOTER,TAXI,0.0,University
EBIKE,TAXI,0.0,University
All,TNC-REG,958.904704155316,University
DRIVEALONE,TNC-REG,0.0,University
SHARED2,TNC-REG,0.0,University
SHARED3,TNC-REG,0.0,University
WALK,TNC-REG,0.0,University
BIKE,TNC-REG,0.0,University
WALK-TRANSIT,TNC-REG,0.0,University
PNR-TRANSIT,TNC-REG,0.0,University
KNR-TRANSIT,TNC-REG,0.0,University
TNC-TRANSIT,TNC-REG,0.0,University
TAXI,TNC-REG,0.0,University
TNC-REG,TNC-REG,958.904704155316,University
TNC-SHARED,TNC-REG,0.0,University
SCHOOLBUS,TNC-REG,0.0,University
ESCOOTER,TNC-REG,0.0,University
EBIKE,TNC-REG,0.0,University
All,TNC-SHARED,0.0,University
DRIVEALONE,TNC-SHARED,0.0,University
SHARED2,TNC-SHARED,0.0,University
SHARED3,TNC-SHARED,0.0,University
WALK,TNC-SHARED,0.0,University
BIKE,TNC-SHARED,0.0,University
WALK-TRANSIT,TNC-SHARED,0.0,University
PNR-TRANSIT,TNC-SHARED,0.0,University
KNR-TRANSIT,TNC-SHARED,0.0,University
TNC-TRANSIT,TNC-SHARED,0.0,University
TAXI,TNC-SHARED,0.0,University
TNC-REG,TNC-SHARED,0.0,University
TNC-SHARED,TNC-SHARED,0.0,University
SCHOOLBUS,TNC-SHARED,0.0,University
ESCOOTER,TNC-SHARED,0.0,University
EBIKE,TNC-SHARED,0.0,University
All,SCHOOLBUS,0.0,University
DRIVEALONE,SCHOOLBUS,0.0,University
SHARED2,SCHOOLBUS,0.0,University
SHARED3,SCHOOLBUS,0.0,University
WALK,SCHOOLBUS,0.0,University
BIKE,SCHOOLBUS,0.0,University
WALK-TRANSIT,SCHOOLBUS,0.0,University
PNR-TRANSIT,SCHOOLBUS,0.0,University
KNR-TRANSIT,SCHOOLBUS,0.0,University
TNC-TRANSIT,SCHOOLBUS,0.0,University
TAXI,SCHOOLBUS,0.0,University
TNC-REG,SCHOOLBUS,0.0,University
TNC-SHARED,SCHOOLBUS,0.0,University
SCHOOLBUS,SCHOOLBUS,0.0,University
ESCOOTER,SCHOOLBUS,0.0,University
EBIKE,SCHOOLBUS,0.0,University
All,ESCOOTER,0.0,University
DRIVEALONE,ESCOOTER,0.0,University
SHARED2,ESCOOTER,0.0,University
SHARED3,ESCOOTER,0.0,University
WALK,ESCOOTER,0.0,University
BIKE,ESCOOTER,0.0,University
WALK-TRANSIT,ESCOOTER,0.0,University
PNR-TRANSIT,ESCOOTER,0.0,University
KNR-TRANSIT,ESCOOTER,0.0,University
TNC-TRANSIT,ESCOOTER,0.0,University
TAXI,ESCOOTER,0.0,University
TNC-REG,ESCOOTER,0.0,University
TNC-SHARED,ESCOOTER,0.0,University
SCHOOLBUS,ESCOOTER,0.0,University
ESCOOTER,ESCOOTER,0.0,University
EBIKE,ESCOOTER,0.0,University
All,EBIKE,0.0,University
DRIVEALONE,EBIKE,0.0,University
SHARED2,EBIKE,0.0,University
SHARED3,EBIKE,0.0,University
WALK,EBIKE,0.0,University
BIKE,EBIKE,0.0,University
WALK-TRANSIT,EBIKE,0.0,University
PNR-TRANSIT,EBIKE,0.0,University
KNR-TRANSIT,EBIKE,0.0,University
TNC-TRANSIT,EBIKE,0.0,University
TAXI,EBIKE,0.0,University
TNC-REG,EBIKE,0.0,University
TNC-SHARED,EBIKE,0.0,University
SCHOOLBUS,EBIKE,0.0,University
ESCOOTER,EBIKE,0.0,University
EBIKE,EBIKE,0.0,University
All,All,1034046.2838035184,School
DRIVEALONE,All,343313.5119327388,School
SHARED2,All,177561.61787383037,School
SHARED3,All,306089.33525238704,School
WALK,All,164123.01847035976,School
BIKE,All,25805.32355581177,School
WALK-TRANSIT,All,3085.024797699816,School
PNR-TRANSIT,All,0.0,School
KNR-TRANSIT,All,0.0,School
TNC-TRANSIT,All,0.0,School
TAXI,All,0.0,School
TNC-REG,All,0.0,School
TNC-SHARED,All,0.0,School
SCHOOLBUS,All,13019.9328298986,School
ESCOOTER,All,0.0,School
EBIKE,All,277.262891367173,School
All,DRIVEALONE,93150.65378201654,School
DRIVEALONE,DRIVEALONE,84623.4196312306,School
SHARED2,DRIVEALONE,0.0,School
SHARED3,DRIVEALONE,1316.53673761765,School
WALK,DRIVEALONE,7138.70444368661,School
BIKE,DRIVEALONE,71.992969481682,School
WALK-TRANSIT,DRIVEALONE,0.0,School
PNR-TRANSIT,DRIVEALONE,0.0,School
KNR-TRANSIT,DRIVEALONE,0.0,School
TNC-TRANSIT,DRIVEALONE,0.0,School
TAXI,DRIVEALONE,0.0,School
TNC-REG,DRIVEALONE,0.0,School
TNC-SHARED,DRIVEALONE,0.0,School
SCHOOLBUS,DRIVEALONE,0.0,School
ESCOOTER,DRIVEALONE,0.0,School
EBIKE,DRIVEALONE,0.0,School
All,SHARED2,239987.6044864648,School
DRIVEALONE,SHARED2,97112.5379381922,School
SHARED2,SHARED2,139847.834827657,School
SHARED3,SHARED2,2389.94218807415,School
WALK,SHARED2,637.289532541417,School
BIKE,SHARED2,0.0,School
WALK-TRANSIT,SHARED2,0.0,School
PNR-TRANSIT,SHARED2,0.0,School
KNR-TRANSIT,SHARED2,0.0,School
TNC-TRANSIT,SHARED2,0.0,School
TAXI,SHARED2,0.0,School
TNC-REG,SHARED2,0.0,School
TNC-SHARED,SHARED2,0.0,School
SCHOOLBUS,SHARED2,0.0,School
ESCOOTER,SHARED2,0.0,School
EBIKE,SHARED2,0.0,School
All,SHARED3,495113.7558799056,School
DRIVEALONE,SHARED3,161577.554363316,School
SHARED2,SHARED3,37539.2511808831,School
SHARED3,SHARED3,269067.415117711,School
WALK,SHARED3,26882.6032867631,School
BIKE,SHARED3,46.9319312323893,School
WALK-TRANSIT,SHARED3,0.0,School
PNR-TRANSIT,SHARED3,0.0,School
KNR-TRANSIT,SHARED3,0.0,School
TNC-TRANSIT,SHARED3,0.0,School
TAXI,SHARED3,0.0,School
TNC-REG,SHARED3,0.0,School
TNC-SHARED,SHARED3,0.0,School
SCHOOLBUS,SHARED3,0.0,School
ESCOOTER,SHARED3,0.0,School
EBIKE,SHARED3,0.0,School
All,WALK,129192.06806935598,School
DRIVEALONE,WALK,0.0,School
SHARED2,WALK,151.621879949996,School
SHARED3,WALK,0.0,School
WALK,WALK,129040.446189406,School
BIKE,WALK,0.0,School
WALK-TRANSIT,WALK,0.0,School
PNR-TRANSIT,WALK,0.0,School
KNR-TRANSIT,WALK,0.0,School
TNC-TRANSIT,WALK,0.0,School
TAXI,WALK,0.0,School
TNC-REG,WALK,0.0,School
TNC-SHARED,WALK,0.0,School
SCHOOLBUS,WALK,0.0,School
ESCOOTER,WALK,0.0,School
EBIKE,WALK,0.0,School
All,BIKE,55427.844539407655,School
DRIVEALONE,BIKE,0.0,School
SHARED2,BIKE,0.0,School
SHARED3,BIKE,29317.4708663473,School
WALK,BIKE,423.975017962652,School
BIKE,BIKE,25686.3986550977,School
WALK-TRANSIT,BIKE,0.0,School
PNR-TRANSIT,BIKE,0.0,School
KNR-TRANSIT,BIKE,0.0,School
TNC-TRANSIT,BIKE,0.0,School
TAXI,BIKE,0.0,School
TNC-REG,BIKE,0.0,School
TNC-SHARED,BIKE,0.0,School
SCHOOLBUS,BIKE,0.0,School
ESCOOTER,BIKE,0.0,School
EBIKE,BIKE,0.0,School
All,WALK-TRANSIT,7877.161325101984,School
DRIVEALONE,WALK-TRANSIT,0.0,School
SHARED2,WALK-TRANSIT,22.9099853402743,School
SHARED3,WALK-TRANSIT,3997.97034263694,School
WALK,WALK-TRANSIT,0.0,School
BIKE,WALK-TRANSIT,0.0,School
WALK-TRANSIT,WALK-TRANSIT,3085.024797699816,School
PNR-TRANSIT,WALK-TRANSIT,0.0,School
KNR-TRANSIT,WALK-TRANSIT,0.0,School
TNC-TRANSIT,WALK-TRANSIT,0.0,School
TAXI,WALK-TRANSIT,0.0,School
TNC-REG,WALK-TRANSIT,0.0,School
TNC-SHARED,WALK-TRANSIT,0.0,School
SCHOOLBUS,WALK-TRANSIT,0.0,School
ESCOOTER,WALK-TRANSIT,0.0,School
EBIKE,WALK-TRANSIT,0.0,School
All,PNR-TRANSIT,0.0,School
DRIVEALONE,PNR-TRANSIT,0.0,School
SHARED2,PNR-TRANSIT,0.0,School
SHARED3,PNR-TRANSIT,0.0,School
WALK,PNR-TRANSIT,0.0,School
BIKE,PNR-TRANSIT,0.0,School
WALK-TRANSIT,PNR-TRANSIT,0.0,School
PNR-TRANSIT,PNR-TRANSIT,0.0,School
KNR-TRANSIT,PNR-TRANSIT,0.0,School
TNC-TRANSIT,PNR-TRANSIT,0.0,School
TAXI,PNR-TRANSIT,0.0,School
TNC-REG,PNR-TRANSIT,0.0,School
TNC-SHARED,PNR-TRANSIT,0.0,School
SCHOOLBUS,PNR-TRANSIT,0.0,School
ESCOOTER,PNR-TRANSIT,0.0,School
EBIKE,PNR-TRANSIT,0.0,School
All,KNR-TRANSIT,0.0,School
DRIVEALONE,KNR-TRANSIT,0.0,School
SHARED2,KNR-TRANSIT,0.0,School
SHARED3,KNR-TRANSIT,0.0,School
WALK,KNR-TRANSIT,0.0,School
BIKE,KNR-TRANSIT,0.0,School
WALK-TRANSIT,KNR-TRANSIT,0.0,School
PNR-TRANSIT,KNR-TRANSIT,0.0,School
KNR-TRANSIT,KNR-TRANSIT,0.0,School
TNC-TRANSIT,KNR-TRANSIT,0.0,School
TAXI,KNR-TRANSIT,0.0,School
TNC-REG,KNR-TRANSIT,0.0,School
TNC-SHARED,KNR-TRANSIT,0.0,School
SCHOOLBUS,KNR-TRANSIT,0.0,School
ESCOOTER,KNR-TRANSIT,0.0,School
EBIKE,KNR-TRANSIT,0.0,School
All,TNC-TRANSIT,0.0,School
DRIVEALONE,TNC-TRANSIT,0.0,School
SHARED2,TNC-TRANSIT,0.0,School
SHARED3,TNC-TRANSIT,0.0,School
WALK,TNC-TRANSIT,0.0,School
BIKE,TNC-TRANSIT,0.0,School
WALK-TRANSIT,TNC-TRANSIT,0.0,School
PNR-TRANSIT,TNC-TRANSIT,0.0,School
KNR-TRANSIT,TNC-TRANSIT,0.0,School
TNC-TRANSIT,TNC-TRANSIT,0.0,School
TAXI,TNC-TRANSIT,0.0,School
TNC-REG,TNC-TRANSIT,0.0,School
TNC-SHARED,TNC-TRANSIT,0.0,School
SCHOOLBUS,TNC-TRANSIT,0.0,School
ESCOOTER,TNC-TRANSIT,0.0,School
EBIKE,TNC-TRANSIT,0.0,School
All,TAXI,0.0,School
DRIVEALONE,TAXI,0.0,School
SHARED2,TAXI,0.0,School
SHARED3,TAXI,0.0,School
WALK,TAXI,0.0,School
BIKE,TAXI,0.0,School
WALK-TRANSIT,TAXI,0.0,School
PNR-TRANSIT,TAXI,0.0,School
KNR-TRANSIT,TAXI,0.0,School
TNC-TRANSIT,TAXI,0.0,School
TAXI,TAXI,0.0,School
TNC-REG,TAXI,0.0,School
TNC-SHARED,TAXI,0.0,School
SCHOOLBUS,TAXI,0.0,School
ESCOOTER,TAXI,0.0,School
EBIKE,TAXI,0.0,School
All,TNC-REG,0.0,School
DRIVEALONE,TNC-REG,0.0,School
SHARED2,TNC-REG,0.0,School
SHARED3,TNC-REG,0.0,School
WALK,TNC-REG,0.0,School
BIKE,TNC-REG,0.0,School
WALK-TRANSIT,TNC-REG,0.0,School
PNR-TRANSIT,TNC-REG,0.0,School
KNR-TRANSIT,TNC-REG,0.0,School
TNC-TRANSIT,TNC-REG,0.0,School
TAXI,TNC-REG,0.0,School
TNC-REG,TNC-REG,0.0,School
TNC-SHARED,TNC-REG,0.0,School
SCHOOLBUS,TNC-REG,0.0,School
ESCOOTER,TNC-REG,0.0,School
EBIKE,TNC-REG,0.0,School
All,TNC-SHARED,0.0,School
DRIVEALONE,TNC-SHARED,0.0,School
SHARED2,TNC-SHARED,0.0,School
SHARED3,TNC-SHARED,0.0,School
WALK,TNC-SHARED,0.0,School
BIKE,TNC-SHARED,0.0,School
WALK-TRANSIT,TNC-SHARED,0.0,School
PNR-TRANSIT,TNC-SHARED,0.0,School
KNR-TRANSIT,TNC-SHARED,0.0,School
TNC-TRANSIT,TNC-SHARED,0.0,School
TAXI,TNC-SHARED,0.0,School
TNC-REG,TNC-SHARED,0.0,School
TNC-SHARED,TNC-SHARED,0.0,School
SCHOOLBUS,TNC-SHARED,0.0,School
ESCOOTER,TNC-SHARED,0.0,School
EBIKE,TNC-SHARED,0.0,School
All,SCHOOLBUS,13019.9328298986,School
DRIVEALONE,SCHOOLBUS,0.0,School
SHARED2,SCHOOLBUS,0.0,School
SHARED3,SCHOOLBUS,0.0,School
WALK,SCHOOLBUS,0.0,School
BIKE,SCHOOLBUS,0.0,School
WALK-TRANSIT,SCHOOLBUS,0.0,School
PNR-TRANSIT,SCHOOLBUS,0.0,School
KNR-TRANSIT,SCHOOLBUS,0.0,School
TNC-TRANSIT,SCHOOLBUS,0.0,School
TAXI,SCHOOLBUS,0.0,School
TNC-REG,SCHOOLBUS,0.0,School
TNC-SHARED,SCHOOLBUS,0.0,School
SCHOOLBUS,SCHOOLBUS,13019.9328298986,School
ESCOOTER,SCHOOLBUS,0.0,School
EBIKE,SCHOOLBUS,0.0,School
All,ESCOOTER,0.0,School
DRIVEALONE,ESCOOTER,0.0,School
SHARED2,ESCOOTER,0.0,School
SHARED3,ESCOOTER,0.0,School
WALK,ESCOOTER,0.0,School
BIKE,ESCOOTER,0.0,School
WALK-TRANSIT,ESCOOTER,0.0,School
PNR-TRANSIT,ESCOOTER,0.0,School
KNR-TRANSIT,ESCOOTER,0.0,School
TNC-TRANSIT,ESCOOTER,0.0,School
TAXI,ESCOOTER,0.0,School
TNC-REG,ESCOOTER,0.0,School
TNC-SHARED,ESCOOTER,0.0,School
SCHOOLBUS,ESCOOTER,0.0,School
ESCOOTER,ESCOOTER,0.0,School
EBIKE,ESCOOTER,0.0,School
All,EBIKE,277.262891367173,School
DRIVEALONE,EBIKE,0.0,School
SHARED2,EBIKE,0.0,School
SHARED3,EBIKE,0.0,School
WALK,EBIKE,0.0,School
BIKE,EBIKE,0.0,School
WALK-TRANSIT,EBIKE,0.0,School
PNR-TRANSIT,EBIKE,0.0,School
KNR-TRANSIT,EBIKE,0.0,School
TNC-TRANSIT,EBIKE,0.0,School
TAXI,EBIKE,0.0,School
TNC-REG,EBIKE,0.0,School
TNC-SHARED,EBIKE,0.0,School
SCHOOLBUS,EBIKE,0.0,School
ESCOOTER,EBIKE,0.0,School
EBIKE,EBIKE,277.262891367173,School
All,All,4754989.717315071,Ind-Maintenance
DRIVEALONE,All,2352057.5276302933,Ind-Maintenance
SHARED2,All,887515.5701430825,Ind-Maintenance
SHARED3,All,900633.7164291848,Ind-Maintenance
WALK,All,476375.1518185905,Ind-Maintenance
BIKE,All,48740.56435463236,Ind-Maintenance
WALK-TRANSIT,All,35192.67383259672,Ind-Maintenance
PNR-TRANSIT,All,3278.7687328727807,Ind-Maintenance
KNR-TRANSIT,All,17072.05127310256,Ind-Maintenance
TNC-TRANSIT,All,169.235315617602,Ind-Maintenance
TAXI,All,11346.39396055306,Ind-Maintenance
TNC-REG,All,13165.288307561934,Ind-Maintenance
TNC-SHARED,All,0.0,Ind-Maintenance
SCHOOLBUS,All,0.0,Ind-Maintenance
ESCOOTER,All,858.9489464018803,Ind-Maintenance
EBIKE,All,6620.071613995751,Ind-Maintenance
All,DRIVEALONE,1802690.0985658355,Ind-Maintenance
DRIVEALONE,DRIVEALONE,1742890.95084924,Ind-Maintenance
SHARED2,DRIVEALONE,1408.3192447509,Ind-Maintenance
SHARED3,DRIVEALONE,1222.25674346386,Ind-Maintenance
WALK,DRIVEALONE,55162.3153666952,Ind-Maintenance
BIKE,DRIVEALONE,590.721896374467,Ind-Maintenance
WALK-TRANSIT,DRIVEALONE,0.0,Ind-Maintenance
PNR-TRANSIT,DRIVEALONE,0.0,Ind-Maintenance
KNR-TRANSIT,DRIVEALONE,0.0,Ind-Maintenance
TNC-TRANSIT,DRIVEALONE,0.0,Ind-Maintenance
TAXI,DRIVEALONE,0.0,Ind-Maintenance
TNC-REG,DRIVEALONE,170.60345604252,Ind-Maintenance
TNC-SHARED,DRIVEALONE,0.0,Ind-Maintenance
SCHOOLBUS,DRIVEALONE,0.0,Ind-Maintenance
ESCOOTER,DRIVEALONE,265.422987857664,Ind-Maintenance
EBIKE,DRIVEALONE,979.508021410991,Ind-Maintenance
All,SHARED2,1083045.1255660842,Ind-Maintenance
DRIVEALONE,SHARED2,366760.199268969,Ind-Maintenance
SHARED2,SHARED2,673180.796334036,Ind-Maintenance
SHARED3,SHARED2,490.009371171005,Ind-Maintenance
WALK,SHARED2,42453.2767695509,Ind-Maintenance
BIKE,SHARED2,20.6417275257636,Ind-Maintenance
WALK-TRANSIT,SHARED2,0.0,Ind-Maintenance
PNR-TRANSIT,SHARED2,0.0,Ind-Maintenance
KNR-TRANSIT,SHARED2,0.0,Ind-Maintenance
TNC-TRANSIT,SHARED2,0.0,Ind-Maintenance
TAXI,SHARED2,8.61696435336093,Ind-Maintenance
TNC-REG,SHARED2,131.585130478099,Ind-Maintenance
TNC-SHARED,SHARED2,0.0,Ind-Maintenance
SCHOOLBUS,SHARED2,0.0,Ind-Maintenance
ESCOOTER,SHARED2,0.0,Ind-Maintenance
EBIKE,SHARED2,0.0,Ind-Maintenance
All,SHARED3,1405586.76938596,Ind-Maintenance
DRIVEALONE,SHARED3,236798.35419249,Ind-Maintenance
SHARED2,SHARED3,210765.215524703,Ind-Maintenance
SHARED3,SHARED3,895030.458675229,Ind-Maintenance
WALK,SHARED3,61570.605349003,Ind-Maintenance
BIKE,SHARED3,100.530901407424,Ind-Maintenance
WALK-TRANSIT,SHARED3,0.0,Ind-Maintenance
PNR-TRANSIT,SHARED3,0.0,Ind-Maintenance
KNR-TRANSIT,SHARED3,0.0,Ind-Maintenance
TNC-TRANSIT,SHARED3,0.0,Ind-Maintenance
TAXI,SHARED3,0.0,Ind-Maintenance
TNC-REG,SHARED3,250.661115178934,Ind-Maintenance
TNC-SHARED,SHARED3,0.0,Ind-Maintenance
SCHOOLBUS,SHARED3,0.0,Ind-Maintenance
ESCOOTER,SHARED3,0.0,Ind-Maintenance
EBIKE,SHARED3,1070.94362794873,Ind-Maintenance
All,WALK,301048.3302746112,Ind-Maintenance
DRIVEALONE,WALK,3356.37008230049,Ind-Maintenance
SHARED2,WALK,151.621879949996,Ind-Maintenance
SHARED3,WALK,29.7844898987277,Ind-Maintenance
WALK,WALK,297510.553822462,Ind-Maintenance
BIKE,WALK,0.0,Ind-Maintenance
WALK-TRANSIT,WALK,0.0,Ind-Maintenance
PNR-TRANSIT,WALK,0.0,Ind-Maintenance
KNR-TRANSIT,WALK,0.0,Ind-Maintenance
TNC-TRANSIT,WALK,0.0,Ind-Maintenance
TAXI,WALK,0.0,Ind-Maintenance
TNC-REG,WALK,0.0,Ind-Maintenance
TNC-SHARED,WALK,0.0,Ind-Maintenance
SCHOOLBUS,WALK,0.0,Ind-Maintenance
ESCOOTER,WALK,0.0,Ind-Maintenance
EBIKE,WALK,0.0,Ind-Maintenance
All,BIKE,57401.85469013287,Ind-Maintenance
DRIVEALONE,BIKE,0.0,Ind-Maintenance
SHARED2,BIKE,0.0,Ind-Maintenance
SHARED3,BIKE,2838.21257113805,Ind-Maintenance
WALK,BIKE,6534.97228967011,Ind-Maintenance
BIKE,BIKE,48028.6698293247,Ind-Maintenance
WALK-TRANSIT,BIKE,0.0,Ind-Maintenance
PNR-TRANSIT,BIKE,0.0,Ind-Maintenance
KNR-TRANSIT,BIKE,0.0,Ind-Maintenance
TNC-TRANSIT,BIKE,0.0,Ind-Maintenance
TAXI,BIKE,0.0,Ind-Maintenance
TNC-REG,BIKE,0.0,Ind-Maintenance
TNC-SHARED,BIKE,0.0,Ind-Maintenance
SCHOOLBUS,BIKE,0.0,Ind-Maintenance
ESCOOTER,BIKE,0.0,Ind-Maintenance
EBIKE,BIKE,0.0,Ind-Maintenance
All,WALK-TRANSIT,62647.87609975051,Ind-Maintenance
DRIVEALONE,WALK-TRANSIT,2251.65323729373,Ind-Maintenance
SHARED2,WALK-TRANSIT,2009.61715964261,Ind-Maintenance
SHARED3,WALK-TRANSIT,1022.99457828414,Ind-Maintenance
WALK,WALK-TRANSIT,13143.4282212093,Ind-Maintenance
BIKE,WALK-TRANSIT,0.0,Ind-Maintenance
WALK-TRANSIT,WALK-TRANSIT,35192.67383259672,Ind-Maintenance
PNR-TRANSIT,WALK-TRANSIT,0.0,Ind-Maintenance
KNR-TRANSIT,WALK-TRANSIT,0.0,Ind-Maintenance
TNC-TRANSIT,WALK-TRANSIT,0.0,Ind-Maintenance
TAXI,WALK-TRANSIT,0.0,Ind-Maintenance
TNC-REG,WALK-TRANSIT,213.298572795781,Ind-Maintenance
TNC-SHARED,WALK-TRANSIT,0.0,Ind-Maintenance
SCHOOLBUS,WALK-TRANSIT,0.0,Ind-Maintenance
ESCOOTER,WALK-TRANSIT,16.0420397790443,Ind-Maintenance
EBIKE,WALK-TRANSIT,0.0,Ind-Maintenance
All,PNR-TRANSIT,1322.08416648096,Ind-Maintenance
DRIVEALONE,PNR-TRANSIT,0.0,Ind-Maintenance
SHARED2,PNR-TRANSIT,0.0,Ind-Maintenance
SHARED3,PNR-TRANSIT,0.0,Ind-Maintenance
WALK,PNR-TRANSIT,0.0,Ind-Maintenance
BIKE,PNR-TRANSIT,0.0,Ind-Maintenance
WALK-TRANSIT,PNR-TRANSIT,0.0,Ind-Maintenance
PNR-TRANSIT,PNR-TRANSIT,3278.7687328727807,Ind-Maintenance
KNR-TRANSIT,PNR-TRANSIT,0.0,Ind-Maintenance
TNC-TRANSIT,PNR-TRANSIT,0.0,Ind-Maintenance
TAXI,PNR-TRANSIT,0.0,Ind-Maintenance
TNC-REG,PNR-TRANSIT,0.0,Ind-Maintenance
TNC-SHARED,PNR-TRANSIT,0.0,Ind-Maintenance
SCHOOLBUS,PNR-TRANSIT,0.0,Ind-Maintenance
ESCOOTER,PNR-TRANSIT,0.0,Ind-Maintenance
EBIKE,PNR-TRANSIT,0.0,Ind-Maintenance
All,KNR-TRANSIT,12194.3223379304,Ind-Maintenance
DRIVEALONE,KNR-TRANSIT,0.0,Ind-Maintenance
SHARED2,KNR-TRANSIT,0.0,Ind-Maintenance
SHARED3,KNR-TRANSIT,0.0,Ind-Maintenance
WALK,KNR-TRANSIT,0.0,Ind-Maintenance
BIKE,KNR-TRANSIT,0.0,Ind-Maintenance
WALK-TRANSIT,KNR-TRANSIT,0.0,Ind-Maintenance
PNR-TRANSIT,KNR-TRANSIT,0.0,Ind-Maintenance
KNR-TRANSIT,KNR-TRANSIT,17072.05127310256,Ind-Maintenance
TNC-TRANSIT,KNR-TRANSIT,0.0,Ind-Maintenance
TAXI,KNR-TRANSIT,0.0,Ind-Maintenance
TNC-REG,KNR-TRANSIT,0.0,Ind-Maintenance
TNC-SHARED,KNR-TRANSIT,0.0,Ind-Maintenance
SCHOOLBUS,KNR-TRANSIT,0.0,Ind-Maintenance
ESCOOTER,KNR-TRANSIT,0.0,Ind-Maintenance
EBIKE,KNR-TRANSIT,0.0,Ind-Maintenance
All,TNC-TRANSIT,169.235315617602,Ind-Maintenance
DRIVEALONE,TNC-TRANSIT,0.0,Ind-Maintenance
SHARED2,TNC-TRANSIT,0.0,Ind-Maintenance
SHARED3,TNC-TRANSIT,0.0,Ind-Maintenance
WALK,TNC-TRANSIT,0.0,Ind-Maintenance
BIKE,TNC-TRANSIT,0.0,Ind-Maintenance
WALK-TRANSIT,TNC-TRANSIT,0.0,Ind-Maintenance
PNR-TRANSIT,TNC-TRANSIT,0.0,Ind-Maintenance
KNR-TRANSIT,TNC-TRANSIT,0.0,Ind-Maintenance
TNC-TRANSIT,TNC-TRANSIT,169.235315617602,Ind-Maintenance
TAXI,TNC-TRANSIT,0.0,Ind-Maintenance
TNC-REG,TNC-TRANSIT,0.0,Ind-Maintenance
TNC-SHARED,TNC-TRANSIT,0.0,Ind-Maintenance
SCHOOLBUS,TNC-TRANSIT,0.0,Ind-Maintenance
ESCOOTER,TNC-TRANSIT,0.0,Ind-Maintenance
EBIKE,TNC-TRANSIT,0.0,Ind-Maintenance
All,TAXI,11337.7769961997,Ind-Maintenance
