distbin,District,purpose,value
4,1: Downtown,University,17.0
4,2: Central,University,357.0
4,3: North City,University,837.0
4,4: South Suburban,University,71.0
4,5: East Suburban,University,385.0
4,6: North County West,University,295.0
4,7: North County East,University,730.0
4,8: East County,University,30.0
5,1: Downtown,University,11.0
5,2: Central,University,338.0
5,3: North City,University,923.0
5,4: South Suburban,University,70.0
5,5: East Suburban,University,449.0
5,6: North County West,University,327.0
5,7: North County East,University,629.0
5,8: East County,University,30.0
6,1: Downtown,University,6.0
6,2: Central,University,342.0
6,3: North City,University,2844.0
6,4: South Suburban,University,96.0
6,5: East Suburban,University,369.0
6,6: North County West,University,689.0
6,7: North County East,University,656.0
6,8: East County,University,66.0
7,1: Downtown,University,17.0
7,2: Central,University,356.0
7,3: North City,University,1598.0
7,4: South Suburban,University,92.0
7,5: East Suburban,University,547.0
7,6: North County West,University,782.0
7,7: North County East,University,693.0
7,8: East County,University,21.0
8,1: Downtown,University,16.0
8,2: Central,University,383.0
8,3: North City,University,1448.0
8,4: South Suburban,University,32.0
8,5: East Suburban,University,620.0
8,6: North County West,University,1179.0
8,7: North County East,University,861.0
8,8: East County,University,59.0
9,1: Downtown,University,16.0
9,2: Central,University,430.0
9,3: North City,University,1111.0
9,4: South Suburban,University,44.0
9,5: East Suburban,University,464.0
9,6: North County West,University,465.0
9,7: North County East,University,851.0
9,8: East County,University,126.0
10,1: Downtown,University,94.0
10,2: Central,University,623.0
10,3: North City,University,1804.0
10,4: South Suburban,University,94.0
10,5: East Suburban,University,1147.0
10,6: North County West,University,598.0
10,7: North County East,University,717.0
10,8: East County,University,93.0
11,1: Downtown,University,91.0
11,2: Central,University,640.0
11,3: North City,University,1214.0
11,4: South Suburban,University,31.0
11,5: East Suburban,University,845.0
11,6: North County West,University,676.0
11,7: North County East,University,491.0
11,8: East County,University,140.0
12,1: Downtown,University,58.0
12,2: Central,University,856.0
12,3: North City,University,1370.0
12,4: South Suburban,University,84.0
12,5: East Suburban,University,1047.0
12,6: North County West,University,394.0
12,7: North County East,University,437.0
12,8: East County,University,255.0
13,1: Downtown,University,69.0
13,2: Central,University,936.0
13,3: North City,University,880.0
13,4: South Suburban,University,74.0
13,5: East Suburban,University,910.0
13,6: North County West,University,372.0
13,7: North County East,University,614.0
13,8: East County,University,29.0
14,1: Downtown,University,82.0
14,2: Central,University,1152.0
14,3: North City,University,696.0
14,4: South Suburban,University,64.0
14,5: East Suburban,University,897.0
14,6: North County West,University,264.0
14,7: North County East,University,627.0
14,8: East County,University,35.0
15,1: Downtown,University,118.0
15,2: Central,University,1090.0
15,3: North City,University,855.0
15,4: South Suburban,University,88.0
15,5: East Suburban,University,709.0
15,6: North County West,University,438.0
15,7: North County East,University,417.0
15,8: East County,University,60.0
16,1: Downtown,University,109.0
16,2: Central,University,1188.0
16,3: North City,University,957.0
16,4: South Suburban,University,114.0
16,5: East Suburban,University,972.0
16,6: North County West,University,493.0
16,7: North County East,University,452.0
16,8: East County,University,161.0
17,1: Downtown,University,82.0
17,2: Central,University,1121.0
17,3: North City,University,982.0
17,4: South Suburban,University,180.0
17,5: East Suburban,University,1064.0
17,6: North County West,University,364.0
17,7: North County East,University,245.0
17,8: East County,University,25.0
18,1: Downtown,University,95.0
18,2: Central,University,1291.0
18,3: North City,University,1129.0
18,4: South Suburban,University,154.0
18,5: East Suburban,University,915.0
18,6: North County West,University,448.0
18,7: North County East,University,169.0
18,8: East County,University,10.0
19,1: Downtown,University,111.0
19,2: Central,University,1198.0
19,3: North City,University,990.0
19,4: South Suburban,University,278.0
19,5: East Suburban,University,520.0
19,6: North County West,University,358.0
19,7: North County East,University,292.0
19,8: East County,University,58.0
20,1: Downtown,University,62.0
20,2: Central,University,1287.0
20,3: North City,University,1241.0
20,4: South Suburban,University,334.0
20,5: East Suburban,University,681.0
20,6: North County West,University,358.0
20,7: North County East,University,342.0
20,8: East County,University,28.0
21,1: Downtown,University,65.0
21,2: Central,University,1160.0
21,3: North City,University,1445.0
21,4: South Suburban,University,388.0
21,5: East Suburban,University,655.0
21,6: North County West,University,370.0
21,7: North County East,University,343.0
21,8: East County,University,13.0
22,1: Downtown,University,70.0
22,2: Central,University,1195.0
22,3: North City,University,1044.0
22,4: South Suburban,University,529.0
22,5: East Suburban,University,680.0
22,6: North County West,University,351.0
22,7: North County East,University,150.0
22,8: East County,University,34.0
23,1: Downtown,University,39.0
23,2: Central,University,1115.0
23,3: North City,University,621.0
23,4: South Suburban,University,517.0
23,5: East Suburban,University,489.0
23,6: North County West,University,271.0
23,7: North County East,University,204.0
23,8: East County,University,21.0
24,1: Downtown,University,36.0
24,2: Central,University,854.0
24,3: North City,University,541.0
24,4: South Suburban,University,470.0
