Purpose,OutboundPeriod,ReturnPeriod,Percent
4,19,20,0.00681
4,19,21,0.01264
4,19,22,0.00112
4,19,23,0.00101
4,19,24,0.00021
4,19,25,0.00068
4,19,26,0.00008
4,19,27,0.00011
4,19,28,0.00017
4,19,29,0.00002
4,19,30,0
4,19,31,0
4,19,32,0.00007
4,19,33,0
4,19,34,0.00149
4,19,35,0
4,19,36,0
4,19,37,0
4,19,38,0
4,19,39,0
4,19,40,0
4,20,1,0
4,20,2,0
4,20,3,0
4,20,4,0
4,20,5,0
4,20,6,0
4,20,7,0
4,20,8,0
4,20,9,0
4,20,10,0
4,20,11,0
4,20,12,0
4,20,13,0
4,20,14,0
4,20,15,0
4,20,16,0
4,20,17,0
4,20,18,0
4,20,19,0
4,20,20,0.00565
4,20,21,0.02512
4,20,22,0.01445
4,20,23,0.00795
4,20,24,0.00086
4,20,25,0.00056
4,20,26,0.00001
4,20,27,0.00001
4,20,28,0.00033
4,20,29,0
4,20,30,0.00006
4,20,31,0
4,20,32,0
4,20,33,0
4,20,34,0.0007
4,20,35,0.00059
4,20,36,0
4,20,37,0
4,20,38,0
4,20,39,0
4,20,40,0
4,21,1,0
4,21,2,0
4,21,3,0
4,21,4,0
4,21,5,0
4,21,6,0
4,21,7,0
4,21,8,0
4,21,9,0
4,21,10,0
4,21,11,0
4,21,12,0
4,21,13,0
4,21,14,0
4,21,15,0
4,21,16,0
4,21,17,0
4,21,18,0
4,21,19,0
4,21,20,0
4,21,21,0.01495
4,21,22,0.04279
4,21,23,0.01466
4,21,24,0.00139
4,21,25,0.00238
4,21,26,0.00182
4,21,27,0.00018
4,21,28,0.00036
4,21,29,0.00007
4,21,30,0.00015
4,21,31,0.00003
4,21,32,0.00012
4,21,33,0.00003
4,21,34,0
4,21,35,0
4,21,36,0
4,21,37,0
4,21,38,0
4,21,39,0
4,21,40,0
4,22,1,0
4,22,2,0
4,22,3,0
4,22,4,0
4,22,5,0
4,22,6,0
4,22,7,0
4,22,8,0
4,22,9,0
4,22,10,0
4,22,11,0
4,22,12,0
4,22,13,0
4,22,14,0
4,22,15,0
4,22,16,0
4,22,17,0
4,22,18,0
4,22,19,0
4,22,20,0
4,22,21,0
4,22,22,0.00107
4,22,23,0.03113
4,22,24,0.00333
4,22,25,0.004
4,22,26,0.00375
4,22,27,0.00076
4,22,28,0.00034
4,22,29,0.00054
4,22,30,0
4,22,31,0.00089
4,22,32,0.00001
4,22,33,0.00004
4,22,34,0.0001
4,22,35,0.00004
4,22,36,0
4,22,37,0
4,22,38,0
4,22,39,0
4,22,40,0.00015
4,23,1,0
4,23,2,0
4,23,3,0
4,23,4,0
4,23,5,0
4,23,6,0
4,23,7,0
4,23,8,0
4,23,9,0
4,23,10,0
4,23,11,0
4,23,12,0
4,23,13,0
4,23,14,0
4,23,15,0
4,23,16,0
4,23,17,0
4,23,18,0
4,23,19,0
4,23,20,0
4,23,21,0
4,23,22,0
4,23,23,0.00702
4,23,24,0.01984
4,23,25,0.00461
4,23,26,0.00374
4,23,27,0.00393
4,23,28,0.00054
4,23,29,0.00021
4,23,30,0.00032
4,23,31,0.00003
4,23,32,0.00004
4,23,33,0
4,23,34,0
4,23,35,0
4,23,36,0
4,23,37,0
4,23,38,0
4,23,39,0
4,23,40,0
4,24,1,0
4,24,2,0
4,24,3,0
4,24,4,0
4,24,5,0
4,24,6,0
4,24,7,0
4,24,8,0
4,24,9,0
4,24,10,0
4,24,11,0
4,24,12,0
4,24,13,0
4,24,14,0
4,24,15,0
4,24,16,0
4,24,17,0
4,24,18,0
4,24,19,0
4,24,20,0
4,24,21,0
4,24,22,0
4,24,23,0
4,24,24,0.01138
4,24,25,0.02115
4,24,26,0.00599
4,24,27,0.00502
4,24,28,0.0007
4,24,29,0.00021
4,24,30,0.00023
4,24,31,0.00006
4,24,32,0.00027
4,24,33,0.00007
4,24,34,0.00003
4,24,35,0.00076
4,24,36,0
4,24,37,0.00072
4,24,38,0
4,24,39,0
4,24,40,0
4,25,1,0
4,25,2,0
4,25,3,0
4,25,4,0
4,25,5,0
4,25,6,0
4,25,7,0
4,25,8,0
4,25,9,0
4,25,10,0
4,25,11,0
4,25,12,0
4,25,13,0
4,25,14,0
4,25,15,0
4,25,16,0
4,25,17,0
4,25,18,0
4,25,19,0
4,25,20,0
4,25,21,0
4,25,22,0
4,25,23,0
4,25,24,0
4,25,25,0.00033
4,25,26,0.02488
4,25,27,0.00767
4,25,28,0.00422
4,25,29,0.00407
4,25,30,0.00226
4,25,31,0.00341
4,25,32,0.0013
4,25,33,0.00001
4,25,34,0.00017
4,25,35,0
4,25,36,0.00024
4,25,37,0
4,25,38,0
4,25,39,0
4,25,40,0
4,26,1,0
4,26,2,0
4,26,3,0
4,26,4,0
4,26,5,0
4,26,6,0
4,26,7,0
4,26,8,0
4,26,9,0
4,26,10,0
4,26,11,0
4,26,12,0
4,26,13,0
4,26,14,0
4,26,15,0
