USER_Accou,Status,Score,Match_addr,LongLabel,ShortLabel,Subregion,Region,Postal,PostalExt,CntryName,X,Y,ExInfo,StrucType,StrucDet,IN_Neighbo,USER_Sleep,USER_Total,USER_Large,USER_Class,USER_Theat,USER_Banqu,USER_Numbe,USER_Mobil,USER_AAA_R,USER_TMD_A,MGRA,TAZ
The Dana on Mission Bay,M,96.14000000000,"1710 W Mission Bay Dr, San Diego, California, 92109","1710 W Mission Bay Dr, San Diego, CA, 92109, USA",1710 W Mission Bay Dr,San Diego County,California,92109,7810,United States,-117.23656257500,32.76517182250,BEACHES | MISSION BAY BEACHES,Commercial,Lodging,Mission Bay/Beaches,271.00000000000,6000.00000000000,4000.00000000000,250.00000000000,100.00000000000,300.00000000000,5.00000000000,3 Star,3 Diamond,Yes,8567,833
The Little Italy Hotel Downtown San Diego,M,96.83000000000,"1646 Front St, San Diego, California, 92101","1646 Front St, San Diego, CA, 92101, USA",1646 Front St,San Diego County,California,92101,2920,United States,-117.16481214300,32.72242273330,DOWNTOWN,Commercial,Lodging,Downtown,333.00000000000,10000.00000000000,3130.00000000000,100.00000000000,200.00000000000,250.00000000000,22.00000000000,3 Star,3 Diamond,Yes,102,1755
"The Guild Hotel, A Tribute Portfolio Hotel by Marriott",M,96.83000000000,"500 W Broadway, San Diego, California, 92101","500 W Broadway, San Diego, CA, 92101, USA",500 W Broadway,San Diego County,California,92101,3506,United States,-117.16784991200,32.71578313440,DOWNTOWN,Commercial,Agricultural,Downtown,163.00000000000,18000.00000000000,3870.00000000000,75.00000000000,100.00000000000,75.00000000000,4.00000000000,,,Yes,615,1685
The Lafayette Hotel & Club,M,95.34000000000,"2223 El Cajon Blvd, San Diego, California, 92104","2223 El Cajon Blvd, San Diego, CA, 92104, USA",2223 El Cajon Blvd,San Diego County,California,92104,1103,United States,-117.14068936100,32.75517686400,NORTH | SOUTH PARK | NORTH PARK SOUTH PARK,Commercial,Lodging,North Park/South Park,133.00000000000,15000.00000000000,5200.00000000000,250.00000000000,300.00000000000,300.00000000000,10.00000000000,3 Star,4 Diamond,Yes,8975,2207
"The US GRANT - A Luxury Collection Hotel, San Diego",M,96.78000000000,"326 Broadway, San Diego, California, 92101","326 Broadway, San Diego, CA, 92101, USA",326 Broadway,San Diego County,California,92101,4812,United States,-117.16153859000,32.71578346970,DOWNTOWN,Commercial,Lodging,Downtown,270.00000000000,33000.00000000000,9300.00000000000,440.00000000000,800.00000000000,800.00000000000,22.00000000000,4 Star,4 Diamond,Yes,2624,1828
The Lodge at Torrey Pines,M,99.22000000000,"11480 N Torrey Pines Rd, La Jolla, California, 92037","11480 N Torrey Pines Rd, La Jolla, CA, 92037, USA",11480 N Torrey Pines Rd,San Diego County,California,92037,1045,United States,-117.24776314400,32.90064940360,LA JOLLA,Commercial,Recreation,La Jolla,170.00000000000,13000.00000000000,3250.00000000000,120.00000000000,160.00000000000,200.00000000000,10.00000000000,4 Star,5 Diamond,Yes,6760,665
The Westgate Hotel,M,96.87000000000,"1055 2nd Ave, San Diego, California, 92101","1055 2nd Ave, San Diego, CA, 92101, USA",1055 2nd Ave,San Diego County,California,92101,4811,United States,-117.16286879800,32.71631312220,DOWNTOWN,Commercial,Lodging,Downtown,223.00000000000,23470.00000000000,2550.00000000000,140.00000000000,250.00000000000,240.00000000000,14.00000000000,4 Star,4 Diamond,Yes,10634,1800
The Westin San Diego Bayview,M,96.83000000000,"400 W Broadway, San Diego, California, 92101","400 W Broadway, San Diego, CA, 92101, USA",400 W Broadway,San Diego County,California,92101,3504,United States,-117.16691851500,32.71578321830,DOWNTOWN,Commercial,Lodging,Downtown,436.00000000000,29000.00000000000,5880.00000000000,400.00000000000,650.00000000000,480.00000000000,15.00000000000,,4 Diamond,Yes,3426,1707
The Westin San Diego Gaslamp Quarter,M,96.95000000000,"910 Broadway Cir, San Diego, California, 92101","910 Broadway Cir, San Diego, CA, 92101, USA",910 Broadway Cir,San Diego County,California,92101,6114,United States,-117.16290542700,32.71472584120,DOWNTOWN,Commercial,Lodging,Downtown,450.00000000000,35000.00000000000,9064.00000000000,480.00000000000,900.00000000000,750.00000000000,21.00000000000,,4 Diamond,Yes,7026,1795
Town and Country San Diego,M,96.02000000000,"500 Hotel Cir N, San Diego, California, 92108","500 Hotel Cir N, San Diego, CA, 92108, USA",500 Hotel Cir N,San Diego County,California,92108,3005,United States,-117.16866144800,32.76126124560,OLD TOWN | MISSION VALLEY OLD TOWN,Commercial,Lodging,Mission Valley/Old Town,671.00000000000,295000.00000000000,40700.00000000000,2600.00000000000,4600.00000000000,3500.00000000000,32.00000000000,4 Star,,Yes,7466,1695
