TAZ,MGRA
1239,19618
1240,19355
1241,19370
1242,19630
1243,19691
1244,19617
1245,18004
1246,19364
1247,19748
1248,19632
1249,19781
1250,18010
1251,18522
1252,19625
1253,19701
1254,22985
1255,22994
1256,22996
1257,19663
1258,18096
1259,19376
1260,14227
1261,18544
1262,19620
1263,19623
1264,18515
1265,19636
1266,14272
1267,19222
1268,19706
1269,19986
1270,19637
1271,19626
1272,19770
1273,19864
1274,19187
1275,19358
1276,14271
1277,19905
1278,19668
1279,18094
1280,14233
1281,19645
1282,18006
1283,14140
1284,14133
1285,19520
1286,18087
1287,18551
1288,18526
1289,19651
1290,22997
1291,19908
1292,19709
1293,19240
1294,19226
1295,19254
1296,19786
1297,19383
1298,19524
1299,19825
1300,19482
1301,19772
1302,19915
1303,19916
1304,19871
1305,19267
1306,19918
1307,19485
1308,14142
1309,19928
1310,14120
1311,19532
1312,18117
1313,19496
1314,14236
1315,21157
1316,19490
1317,12972
1318,19923
1319,19957
1320,14237
1321,18532
1322,19826
1323,14274
1324,14149
1325,18055
1326,18082
1327,19390
1328,19542
1329,19500
1330,19262
1331,19927
1332,18080
1333,19498
1334,14152
1335,19809
1336,12996
1337,19495
1338,14126
1339,19930
1340,21275
1341,12998
1342,19963
1343,19508
1344,20318
1345,14275
1346,14239
1347,19556
1348,19269
1349,18070
1350,19507
1351,14241
1352,20072
1353,19506
1354,13024
1355,19551
1356,19880
1357,19934
1358,19803
1359,18064
1360,18120
1361,13009
1362,12919
1363,12973
1364,13002
1365,19548
1366,19581
1367,14130
1368,19937
1369,19965
1370,21262
1371,19559
1372,19570
1373,19833
1374,20114
1375,19988
1376,19891
1377,20319
1378,19613
1379,19567
1380,21086
1381,19516
1382,18110
1383,19265
1384,13021
1385,19517
1386,19277
1387,19600
1388,18113
1389,19459
1390,13823
1391,18150
1392,18160
1393,13785
1394,19610
1395,13798
1396,12922
1397,14002
1398,18147
1399,21165
1400,13814
1402,19813
1403,19940
1404,12975
1405,13982
1406,19474
1407,19894
1408,20339
1409,19941
1410,12918
1411,20349
1412,20122
1413,19461
1414,19580
1415,12983
1416,21284
1417,19609
1418,19284
1419,19455
1420,20119
1421,13829
1422,19588
1423,13984
1424,14009
1425,21201
1426,13801
1427,19866
1428,12976
1429,12913
1430,21278
1431,18129
1432,21421
1433,21287
1434,13817
1435,19451
1436,19445
1437,21330
1438,13790
1439,12911
1440,19946
1442,20352
1443,20085
1444,20069
1445,13831
1446,19590
1447,13999
1448,13832
1449,14011
1450,12839
1451,13876
1452,13925
1453,13889
1454,20067
1455,20130
1456,12852
1457,12840
1458,11827
1459,20074
1460,20473
1461,20505
1462,11548
1463,13883
1464,13868
1465,13838
1466,12928
1467,12988
1468,14017
1469,14039
1470,12942
1471,20125
1472,11524
1473,12849
1474,12940
1475,20481
1476,13040
1477,12929
1478,12860
1479,13038
1480,11512
1481,21128
1482,12623
1483,13927
1484,12876
1485,20478
1486,12865
1487,20548
1488,14022
1489,12864
1490,13930
1491,13856
1492,13874
1494,14045
1495,12628
1496,12892
1497,11752
1498,14027
1499,20269
1500,20369
1501,13909
1502,11848
1503,13952
1504,11452
1505,13912
1506,13935
1507,13044
1508,13938
1509,12925
1510,12647
1511,12887
1512,12653
1513,14063
1514,11500
1515,11498
1516,13915
1517,12641
1518,13920
1519,13958
1520,13964
1521,13948
1522,12952
1523,12953
1524,12894
1525,12899
1526,11554
1527,13050
1528,13634
1529,20142
1530,20195
1531,13650
1532,20139
1533,13666
1534,13635
1535,13729
1536,12898
1537,13730
1538,13734
1539,13728
1540,20398
1541,20408
1542,20403
1543,20378
1544,12752
1545,20494
1546,13668
1547,12655
1548,13507
1549,13518
1550,13505
1551,13526
1552,11455
1553,13532
1554,11509
1555,20409
1556,13475
1557,13739
1558,13481
1559,20273
1560,20493
1561,11507
1562,12646
1563,12763
1564,13698
1565,13697
1566,13748
1567,20496
1568,20411
1569,13675
1570,13751
1571,13769
1572,11859
1573,13683
1574,13054
1575,12969
1576,11803
1577,11795
1578,20282
1579,13720
1580,12727
1581,11782
1582,20413
1583,11461
1584,20437
1585,11463
1586,20281
1587,13537
1588,13490
1589,20420
1590,11459
1591,13713
1592,13767
1593,13517
1594,13772
1595,13688
1596,20290
1597,12779
1598,13483
1599,11557
1600,11858
1601,11491
1602,20443
1603,13602
1604,12720
1605,13591
1606,20200
1607,20284
1608,20201
1609,20452
1610,20295
1611,11602
1612,12771
1613,12656
1614,20143
1615,13494
1616,13374
1617,13378
1618,13552
1619,13561
1620,20210
1621,11838
1622,20297
1623,20231
1624,12728
1625,11532
1626,20306
1627,11492
1628,20451
1629,20238
1630,13554
1631,11792
1632,11874
1633,12682
1634,20175
1635,13620
1636,20553
1637,20455
1638,20229
1639,11470
1640,11487
1641,20627
