OwnershipCategory,tour_mode,purpose,freq
1: 1+ Veh/Adults > Veh,11: TNC to Transit,5: Individual Maintenance,98
1: 1+ Veh/Adults > Veh,11: TNC to Transit,8: Joint Discretionary,0
1: 1+ Veh/Adults > Veh,11: TNC to Transit,7: Joint Maintenance,0
1: 1+ Veh/Adults > Veh,11: TNC to Transit,3: School,0
1: 1+ Veh/Adults > Veh,11: TNC to Transit,2: University,0
1: 1+ Veh/Adults > Veh,11: TNC to Transit,1: Work,0
1: 1+ Veh/Adults > Veh,12: Taxi,9: Work-based,0
1: 1+ Veh/Adults > Veh,12: Taxi,6: Individual Discretionary,2625
1: 1+ Veh/Adults > Veh,12: Taxi,5: Individual Maintenance,7065
1: 1+ Veh/Adults > Veh,12: Taxi,8: Joint Discretionary,0
1: 1+ Veh/Adults > Veh,12: Taxi,7: Joint Maintenance,0
1: 1+ Veh/Adults > Veh,12: Taxi,3: School,0
1: 1+ Veh/Adults > Veh,12: Taxi,2: University,0
1: 1+ Veh/Adults > Veh,12: Taxi,1: Work,0
1: 1+ Veh/Adults > Veh,13: TNC Single,9: Work-based,0
1: 1+ Veh/Adults > Veh,13: TNC Single,6: Individual Discretionary,517
1: 1+ Veh/Adults > Veh,13: TNC Single,5: Individual Maintenance,3093
1: 1+ Veh/Adults > Veh,13: TNC Single,8: Joint Discretionary,0
1: 1+ Veh/Adults > Veh,13: TNC Single,7: Joint Maintenance,0
1: 1+ Veh/Adults > Veh,13: TNC Single,3: School,0
1: 1+ Veh/Adults > Veh,13: TNC Single,2: University,679
1: 1+ Veh/Adults > Veh,13: TNC Single,1: Work,177
1: 1+ Veh/Adults > Veh,14: TNC Shared,9: Work-based,0
1: 1+ Veh/Adults > Veh,14: TNC Shared,6: Individual Discretionary,0
1: 1+ Veh/Adults > Veh,14: TNC Shared,5: Individual Maintenance,0
1: 1+ Veh/Adults > Veh,14: TNC Shared,8: Joint Discretionary,0
1: 1+ Veh/Adults > Veh,14: TNC Shared,7: Joint Maintenance,0
1: 1+ Veh/Adults > Veh,14: TNC Shared,3: School,0
1: 1+ Veh/Adults > Veh,14: TNC Shared,2: University,0
1: 1+ Veh/Adults > Veh,14: TNC Shared,1: Work,0
1: 1+ Veh/Adults > Veh,15: School Bus,9: Work-based,0
1: 1+ Veh/Adults > Veh,15: School Bus,6: Individual Discretionary,0
1: 1+ Veh/Adults > Veh,15: School Bus,5: Individual Maintenance,0
1: 1+ Veh/Adults > Veh,15: School Bus,8: Joint Discretionary,0
1: 1+ Veh/Adults > Veh,15: School Bus,7: Joint Maintenance,0
1: 1+ Veh/Adults > Veh,15: School Bus,3: School,2761
1: 1+ Veh/Adults > Veh,15: School Bus,2: University,0
1: 1+ Veh/Adults > Veh,15: School Bus,1: Work,0
1: 1+ Veh/Adults > Veh,07: E-Scooter,9: Work-based,0
1: 1+ Veh/Adults > Veh,07: E-Scooter,6: Individual Discretionary,598
1: 1+ Veh/Adults > Veh,07: E-Scooter,5: Individual Maintenance,0
1: 1+ Veh/Adults > Veh,07: E-Scooter,8: Joint Discretionary,0
1: 1+ Veh/Adults > Veh,07: E-Scooter,7: Joint Maintenance,0
1: 1+ Veh/Adults > Veh,07: E-Scooter,3: School,0
1: 1+ Veh/Adults > Veh,07: E-Scooter,2: University,0
1: 1+ Veh/Adults > Veh,07: E-Scooter,1: Work,0
1: 1+ Veh/Adults > Veh,06: E-Bike,9: Work-based,0
1: 1+ Veh/Adults > Veh,06: E-Bike,6: Individual Discretionary,359
1: 1+ Veh/Adults > Veh,06: E-Bike,5: Individual Maintenance,37
1: 1+ Veh/Adults > Veh,06: E-Bike,8: Joint Discretionary,0
1: 1+ Veh/Adults > Veh,06: E-Bike,7: Joint Maintenance,0
1: 1+ Veh/Adults > Veh,06: E-Bike,3: School,0
1: 1+ Veh/Adults > Veh,06: E-Bike,2: University,0
1: 1+ Veh/Adults > Veh,06: E-Bike,1: Work,0
2: Vehicles >= Adults,01: SOV,9: Work-based,93346
2: Vehicles >= Adults,01: SOV,6: Individual Discretionary,219886
2: Vehicles >= Adults,01: SOV,5: Individual Maintenance,433216
2: Vehicles >= Adults,01: SOV,8: Joint Discretionary,0
2: Vehicles >= Adults,01: SOV,7: Joint Maintenance,0
2: Vehicles >= Adults,01: SOV,3: School,30279
2: Vehicles >= Adults,01: SOV,2: University,11664
2: Vehicles >= Adults,01: SOV,1: Work,375081
2: Vehicles >= Adults,02: Shared Ride 2,9: Work-based,12148
2: Vehicles >= Adults,02: Shared Ride 2,6: Individual Discretionary,56685
2: Vehicles >= Adults,02: Shared Ride 2,5: Individual Maintenance,261650
2: Vehicles >= Adults,02: Shared Ride 2,8: Joint Discretionary,105261
2: Vehicles >= Adults,02: Shared Ride 2,7: Joint Maintenance,105261
2: Vehicles >= Adults,02: Shared Ride 2,3: School,44059
2: Vehicles >= Adults,02: Shared Ride 2,2: University,3686
2: Vehicles >= Adults,02: Shared Ride 2,1: Work,54798
2: Vehicles >= Adults,03: Shared Ride 3+,9: Work-based,10497
2: Vehicles >= Adults,03: Shared Ride 3+,6: Individual Discretionary,88694
2: Vehicles >= Adults,03: Shared Ride 3+,5: Individual Maintenance,255969
2: Vehicles >= Adults,03: Shared Ride 3+,8: Joint Discretionary,51168
2: Vehicles >= Adults,03: Shared Ride 3+,7: Joint Maintenance,51168
