stop_period,tour_purpose,freq,stop_skim_period
5.25,8: Joint Discretionary,104.3490163,1: EA
5.75,8: Joint Discretionary,143.9444436,1: EA
6.25,8: Joint Discretionary,544.3374394,2: AM
6.75,8: Joint Discretionary,3852.656657,2: AM
7.25,8: Joint Discretionary,4643.212546,2: AM
7.75,8: Joint Discretionary,1242.141056,2: AM
8.25,8: Joint Discretionary,2564.811905,2: AM
8.75,8: Joint Discretionary,2120.421371,2: AM
9.25,8: Joint Discretionary,23425.30353,3: MD
9.75,8: Joint Discretionary,10687.36255,3: MD
10.25,8: Joint Discretionary,46577.03457,3: MD
10.75,8: Joint Discretionary,16941.78228,3: MD
11.25,8: Joint Discretionary,19971.3395,3: MD
11.75,8: Joint Discretionary,14622.34519,3: MD
12.25,8: Joint Discretionary,21966.21589,3: MD
12.75,8: Joint Discretionary,21778.76138,3: MD
13.25,8: Joint Discretionary,34222.66293,3: MD
13.75,8: Joint Discretionary,27618.45616,3: MD
14.25,8: Joint Discretionary,39041.6226,3: MD
14.75,8: Joint Discretionary,37809.50589,3: MD
15.25,8: Joint Discretionary,13536.5646,3: MD
15.75,8: Joint Discretionary,11655.4668,4: PM
16.25,8: Joint Discretionary,79397.06009,4: PM
16.75,8: Joint Discretionary,59596.83307,4: PM
17.25,8: Joint Discretionary,87341.86554,4: PM
17.75,8: Joint Discretionary,105343.8597,4: PM
18.25,8: Joint Discretionary,58789.80964,4: PM
18.75,8: Joint Discretionary,118686.1878,4: PM
19.25,8: Joint Discretionary,67023.04591,5: EV
19.75,8: Joint Discretionary,71060.90108,5: EV
20.25,8: Joint Discretionary,26161.76547,5: EV
20.75,8: Joint Discretionary,8647.84838,5: EV
21.25,8: Joint Discretionary,28283.38347,5: EV
21.75,8: Joint Discretionary,44207.16366,5: EV
22.25,8: Joint Discretionary,3718.018477,5: EV
22.75,8: Joint Discretionary,438.8089161,5: EV
23.25,8: Joint Discretionary,77.08082722,5: EV
23.75,8: Joint Discretionary,0,5: EV
0.25,8: Joint Discretionary,0,5: EV
0.75,8: Joint Discretionary,0,5: EV
1.25,8: Joint Discretionary,0,5: EV
1.75,8: Joint Discretionary,0,5: EV
2.25,8: Joint Discretionary,0,5: EV
2.75,8: Joint Discretionary,0,5: EV
3.25,9: Work-based,0,1: EA
3.75,9: Work-based,0,1: EA
4.25,9: Work-based,0,1: EA
4.75,9: Work-based,0,1: EA
5.25,9: Work-based,7929.404235,1: EA
5.75,9: Work-based,0,1: EA
6.25,9: Work-based,9157.929469,2: AM
6.75,9: Work-based,91.59368616,2: AM
7.25,9: Work-based,460.7782565,2: AM
7.75,9: Work-based,436.638587,2: AM
8.25,9: Work-based,677.4836365,2: AM
8.75,9: Work-based,18159.14835,2: AM
9.25,9: Work-based,11889.87006,3: MD
9.75,9: Work-based,15791.01102,3: MD
10.25,9: Work-based,14416.08478,3: MD
10.75,9: Work-based,15195.96784,3: MD
11.25,9: Work-based,11311.08561,3: MD
11.75,9: Work-based,15612.98909,3: MD
12.25,9: Work-based,38889.55982,3: MD
12.75,9: Work-based,32797.80119,3: MD
13.25,9: Work-based,19192.61001,3: MD
13.75,9: Work-based,11873.84068,3: MD
14.25,9: Work-based,8432.015801,3: MD
14.75,9: Work-based,11760.8579,3: MD
15.25,9: Work-based,10368.60594,3: MD
15.75,9: Work-based,7009.042995,4: PM
16.25,9: Work-based,3223.622059,4: PM
16.75,9: Work-based,1190.696246,4: PM
17.25,9: Work-based,2679.550858,4: PM
17.75,9: Work-based,6852.523056,4: PM
18.25,9: Work-based,2714.082951,4: PM
18.75,9: Work-based,216.8579641,4: PM
19.25,9: Work-based,1422.861642,5: EV
19.75,9: Work-based,0,5: EV
20.25,9: Work-based,1335.818924,5: EV
20.75,9: Work-based,0,5: EV
21.25,9: Work-based,83.92815338,5: EV
21.75,9: Work-based,0,5: EV
22.25,9: Work-based,0,5: EV
22.75,9: Work-based,0,5: EV
23.25,9: Work-based,0,5: EV
23.75,9: Work-based,0,5: EV
0.25,9: Work-based,0,5: EV
0.75,9: Work-based,0,5: EV
1.25,9: Work-based,0,5: EV
1.75,9: Work-based,0,5: EV
2.25,9: Work-based,0,5: EV
2.75,9: Work-based,0,5: EV
