purpose,freq_dep,freq_arr,skim_period,period
8: Joint Discretionary,8.052053864227927,55.5362368999893,1: EA,1.25
8: Joint Discretionary,8.40360604814619,31.021438220706962,1: EA,1.75
8: Joint Discretionary,11.636817782205041,18.039992262869035,1: EA,2.25
8: Joint Discretionary,20.362635170913816,11.984919691146414,1: EA,2.75
8: Joint Discretionary,2201.0,1353.0,3: MD,11.75
8: Joint Discretionary,81.48321453154627,11.174362216064818,1: EA,3.75
8: Joint Discretionary,147.24973353463423,16.718239832826697,1: EA,4.25
8: Joint Discretionary,224.00711221262864,31.30207500711788,1: EA,4.75
8: Joint Discretionary,553.0,89.0,1: EA,5.25
8: Joint Discretionary,40.61530446213835,10.004933797127785,1: EA,3.25
8: Joint Discretionary,627.0,362.0,2: AM,6.25
8: Joint Discretionary,622.0,626.0,2: AM,6.75
8: Joint Discretionary,739.0,665.0,2: AM,7.25
8: Joint Discretionary,1077.0,527.0,2: AM,7.75
8: Joint Discretionary,1061.0,439.0,2: AM,8.25
8: Joint Discretionary,1067.0,450.0,2: AM,8.75
8: Joint Discretionary,1142.0,569.0,3: MD,9.25
8: Joint Discretionary,2604.0,768.0,3: MD,9.75
8: Joint Discretionary,1842.0,843.0,3: MD,10.25
8: Joint Discretionary,1787.0,986.0,3: MD,10.75
8: Joint Discretionary,624.0,204.0,1: EA,5.75
9: Work-based,1125.0,1545.0,4: PM,16.75
9: Work-based,1145.0,1949.0,4: PM,16.25
9: Work-based,1506.0,2411.0,4: PM,15.75
9: Work-based,1850.0,3108.0,3: MD,15.25
9: Work-based,15212.0,26769.0,3: MD,12.75
9: Work-based,2988.0,6368.0,3: MD,14.25
9: Work-based,3931.0,9676.0,3: MD,13.75
9: Work-based,7551.0,18246.0,3: MD,13.25
9: Work-based,2324.0,4264.0,3: MD,14.75
9: Work-based,848.0,1182.0,4: PM,17.25
9: Work-based,254.0,459.0,5: EV,22.75
9: Work-based,683.0,735.0,4: PM,18.25
9: Work-based,634.0,655.0,4: PM,18.75
9: Work-based,599.0,691.0,5: EV,19.25
9: Work-based,572.0,629.0,5: EV,19.75
9: Work-based,523.0,580.0,5: EV,20.25
9: Work-based,462.0,613.0,5: EV,20.75
9: Work-based,445.0,607.0,5: EV,21.25
9: Work-based,359.0,567.0,5: EV,21.75
9: Work-based,323.0,541.0,5: EV,22.25
9: Work-based,24215.0,12073.0,3: MD,12.25
9: Work-based,730.0,800.0,4: PM,17.75
9: Work-based,20344.0,5950.0,3: MD,11.75
9: Work-based,380.0,74.0,1: EA,5.75
9: Work-based,4505.0,2666.0,3: MD,10.75
9: Work-based,175.0,426.0,5: EV,23.25
9: Work-based,34.406856688521316,115.32046194860814,1: EA,0.25
9: Work-based,16.640800675461463,69.8201944425852,1: EA,0.75
9: Work-based,8.467380361855012,39.54667767163022,1: EA,1.25
9: Work-based,5.007713199122626,21.881134792849668,1: EA,1.75
9: Work-based,3.7542394218053627,12.505271015598343,1: EA,2.25
9: Work-based,3.7704660834000676,7.868031194538161,1: EA,2.75
9: Work-based,5.122595240890663,5.806431276977561,1: EA,3.25
9: Work-based,9.05588078374687,5.290868842993694,1: EA,3.75
9: Work-based,19.259230634997486,6.109544541261044,1: EA,4.25
9: Work-based,44.514836910199136,8.85138427295796,1: EA,4.75
9: Work-based,163.0,21.0,1: EA,5.25
9: Work-based,473.0,126.0,2: AM,6.25
9: Work-based,628.0,183.0,2: AM,6.75
9: Work-based,784.0,255.0,2: AM,7.25
9: Work-based,961.0,358.0,2: AM,7.75
9: Work-based,1416.0,550.0,2: AM,8.25
9: Work-based,1811.0,753.0,2: AM,8.75
9: Work-based,2265.0,947.0,3: MD,9.25
9: Work-based,2768.0,1407.0,3: MD,9.75
9: Work-based,3529.0,1900.0,3: MD,10.25
9: Work-based,5656.0,3677.0,3: MD,11.25
9: Work-based,126.0,359.0,5: EV,23.75
